"","SpeciesLatinName","Basename","MammalNumberHorvath","SpeciesCommonName","Age","Female","Tissue"
"432","Tursiops truncatus","202894750036_R05C02","4.13.6","Bottlenose dolphin",11.42,0,"Blood"
"726","Tursiops truncatus","202897220027_R01C02","4.13.6","Bottlenose dolphin",15.44,1,"Blood"
"727","Tursiops truncatus","202897220027_R02C02","4.13.6","Bottlenose dolphin",19.3,1,"Blood"
"732","Tursiops truncatus","202897220027_R06C01","4.13.6","Bottlenose dolphin",18.23,1,"Blood"
"838","Tursiops truncatus","202897220040_R02C01","4.13.6","Bottlenose dolphin",14.66,1,"Blood"
"845","Tursiops truncatus","202897220040_R06C01","4.13.6","Bottlenose dolphin",28.27,0,"Blood"
"1121","Tursiops truncatus","202897220070_R01C02","4.13.6","Bottlenose dolphin",5.78,0,"Blood"
"1125","Tursiops truncatus","202897220070_R03C02","4.13.6","Bottlenose dolphin",11.09,1,"Blood"
"1127","Tursiops truncatus","202897220070_R04C02","4.13.6","Bottlenose dolphin",9.44,0,"Blood"
"1853","Tursiops truncatus","202897220149_R05C01","4.13.6","Bottlenose dolphin",9.14,1,"Blood"
"1854","Tursiops truncatus","202897220149_R05C02","4.13.6","Bottlenose dolphin",28.72,1,"Blood"
"1872","Tursiops truncatus","202897220152_R02C02","4.13.6","Bottlenose dolphin",2.51,1,"Blood"
"1876","Tursiops truncatus","202897220152_R04C02","4.13.6","Bottlenose dolphin",9.44,0,"Blood"
"1929","Tursiops truncatus","202897220159_R01C01","4.13.6","Bottlenose dolphin",34.24,0,"Blood"
"1931","Tursiops truncatus","202897220159_R02C01","4.13.6","Bottlenose dolphin",21.45,1,"Blood"
"1934","Tursiops truncatus","202897220159_R03C02","4.13.6","Bottlenose dolphin",23.32,1,"Blood"
"1935","Tursiops truncatus","202897220159_R04C01","4.13.6","Bottlenose dolphin",8.3,1,"Blood"
"1938","Tursiops truncatus","202897220159_R06C01","4.13.6","Bottlenose dolphin",6.37,1,"Blood"
"4686","Tursiops truncatus","203531420008_R02C01","4.13.6","Bottlenose dolphin",14.56,1,"Blood"
"4724","Tursiops truncatus","203531420011_R05C01","4.13.6","Bottlenose dolphin",4.65,0,"Blood"
"4725","Tursiops truncatus","203531420011_R05C02","4.13.6","Bottlenose dolphin",14.55,0,"Blood"
"4768","Tursiops truncatus","203531420015_R03C02","4.13.6","Bottlenose dolphin",9.71,1,"Blood"
"4774","Tursiops truncatus","203531420015_R06C02","4.13.6","Bottlenose dolphin",3.36,1,"Blood"
"4801","Tursiops truncatus","203531420018_R02C02","4.13.6","Bottlenose dolphin",29.7,0,"Blood"
"4807","Tursiops truncatus","203531420018_R05C02","4.13.6","Bottlenose dolphin",36.62739726,1,"Blood"
"4888","Tursiops truncatus","203531420027_R05C01","4.13.6","Bottlenose dolphin",20.99,0,"Blood"
"4890","Tursiops truncatus","203531420027_R06C01","4.13.6","Bottlenose dolphin",25.76,0,"Blood"
"4989","Tursiops truncatus","203531420041_R06C01","4.13.6","Bottlenose dolphin",11.59,1,"Blood"
"4990","Tursiops truncatus","203531420041_R06C02","4.13.6","Bottlenose dolphin",11.78,1,"Blood"
"5177","Tursiops truncatus","203531420063_R01C02","4.13.6","Bottlenose dolphin",2.69,1,"Blood"
"5180","Tursiops truncatus","203531420063_R03C01","4.13.6","Bottlenose dolphin",26.59,1,"Blood"
"5210","Tursiops truncatus","203531420070_R02C01","4.13.6","Bottlenose dolphin",14.63,1,"Blood"
"5233","Tursiops truncatus","203531420072_R01C02","4.13.6","Bottlenose dolphin",4.9,1,"Blood"
"5234","Tursiops truncatus","203531420072_R02C01","4.13.6","Bottlenose dolphin",30.82,0,"Blood"
"5240","Tursiops truncatus","203531420072_R05C02","4.13.6","Bottlenose dolphin",20.57,0,"Blood"
"5242","Tursiops truncatus","203531420072_R06C02","4.13.6","Bottlenose dolphin",14.4,0,"Blood"
"5805","Tursiops truncatus","203877620001_R05C01","4.13.6","Bottlenose dolphin",21.7890411,1,"Blood"
"5807","Tursiops truncatus","203877620001_R06C01","4.13.6","Bottlenose dolphin",48.20547945,0,"Blood"
"6202","Tursiops truncatus","203877620043_R01C01","4.13.6","Bottlenose dolphin",35.21369863,1,"Blood"
"6487","Tursiops truncatus","203877620075_R02C01","4.13.6","Bottlenose dolphin",10.81369863,1,"Blood"
"6490","Tursiops truncatus","203877620075_R03C02","4.13.6","Bottlenose dolphin",57.87,1,"Blood"
"6605","Tursiops truncatus","203877620091_R02C01","4.13.6","Bottlenose dolphin",43.58356164,0,"Blood"
"8228","Tursiops truncatus","204529320051_R01C01","4.13.6","Bottlenose dolphin",24.32032854,1,"Blood"
"8229","Tursiops truncatus","204529320051_R01C02","4.13.6","Bottlenose dolphin",3.175906913,1,"Blood"
"8230","Tursiops truncatus","204529320051_R02C01","4.13.6","Bottlenose dolphin",19.50444901,1,"Blood"
"8231","Tursiops truncatus","204529320051_R02C02","4.13.6","Bottlenose dolphin",10.30253251,1,"Blood"
"8283","Tursiops truncatus","204529320059_R04C02","4.13.6","Bottlenose dolphin",0.572210815,1,"Blood"
"10086","Tursiops truncatus","205128010020_R05C02","4.13.6","Bottlenose dolphin",30.31,0,"Blood"
"10107","Tursiops truncatus","205128010023_R04C02","4.13.6","Bottlenose dolphin",44.8843258,0,"Blood"
"11234","Tursiops truncatus","205854170017_R01C01","4.13.6","Bottlenose dolphin",11.31,1,"Blood"
